Year,Month,ADBE,AMZN,AAPL,BBBY,CSCO,CMCSA,COST,DELL,DLTR,EXPE,GRMN,GOOG,INTC,MAT,MSFT,NFLX,ORCL,RIMM,SNDK,SIRI,SPLS,SBUX,WFM,WYNN,YHOO
2008,January,-0.03664,-0.17027,-0.0764,-0.11988,-0.00424,0.07609,-0.08661,-0.00659,-0.04283,-0.00396,-0.18627,-0.16502,-0.04783,-0.08019,-0.1623,0.25567,-0.08527,0.10567,-0.07466,-0.11146,-0.0706,-0.04914,-0.10871,-0.12421,0.44838
2008,February,0.05765,0.10594,0.14784,0.04093,-0.01235,-0.0073,0.04934,0.00102,0.02908,-0.04527,-0.07998,-0.06518,0.06075,0.02969,0.0436,0.09721,0.04026,0.08121,-0.04161,0.00717,0.0075,-0.02671,-0.06218,-0.00052,0.0414
2008,March,0.04777,0.10281,0.21218,0.10169,0.06422,0.06275,0.09666,-0.06476,0.14457,0.1538,-0.24272,0.30381,0.05121,-0.05767,0.00473,-0.07706,0.06575,0.08376,0.20027,-0.1032,-0.01835,-0.07279,-0.00383,0.04669,-0.05254
2008,April,0.18155,0.03803,0.08508,-0.01969,0.04212,0.09468,0.00319,0.23773,0.16809,-0.03999,0.18933,0.02004,0.04767,0.07422,-0.00353,-0.05066,0.09552,0.14174,0.04504,-0.01984,0.08085,0.12098,-0.11168,-0.05049,-0.02371
2008,May,-0.10599,-0.10157,-0.11289,-0.11802,-0.12942,-0.15695,-0.01668,-0.05154,-0.11382,-0.24212,-0.11933,-0.10137,-0.0735,-0.1503,-0.02835,-0.1413,-0.08038,-0.15821,-0.33946,-0.23482,0.01262,-0.1349,-0.183,-0.18672,-0.22795
2008,June,0.04976,0.04105,-0.05073,-0.00961,-0.05491,0.09107,-0.10632,0.12308,0.14679,0.06489,-0.16738,-0.10005,0.03292,0.17118,-0.06524,0.18489,0.02519,0.05064,-0.24599,-0.16931,-0.05263,-0.06636,-0.056,0.19828,-0.03727
2008,July,0.03579,0.05855,0.06658,0.10169,0.094,0.02694,0.0725,-0.11538,0.0232,-0.09749,-0.02564,-0.02208,0.0371,-0.03593,0.06545,-0.00162,0.01879,-0.00993,0.02553,-0.16561,0.07554,0.05899,-0.17422,-0.02112,-0.02564
2008,August,-0.07845,-0.09962,-0.32956,0.02446,-0.06218,-0.07305,-0.03169,-0.2417,-0.05238,-0.14456,-0.02351,-0.13549,-0.18086,-0.06633,-0.02197,0.0013,-0.07423,-0.43832,0.35201,-0.57252,-0.07023,-0.0443,0.09389,-0.14442,-0.10733
2008,September,-0.32506,-0.2133,-0.05344,-0.17956,-0.21225,-0.19423,-0.12204,-0.25956,0.04538,-0.37047,-0.33848,-0.10277,-0.14453,-0.16779,-0.16348,-0.19819,-0.09908,-0.26164,-0.54527,-0.41071,-0.13645,-0.11728,-0.46484,-0.26015,-0.25896
2008,October,-0.13063,-0.25402,-0.13869,-0.21265,-0.06897,0.09986,-0.09439,-0.08493,0.11287,-0.11652,-0.20641,-0.18477,-0.13156,-0.08943,-0.08851,-0.07189,-0.12075,-0.15784,-0.10011,-0.39394,-0.10666,-0.31981,-0.01256,-0.34069,-0.10218
